
--- Run 1/3 ---

Running LoRA with TIES experiment
Test domain: sketch
Train domains: ['photo', 'cartoon', 'art_painting']
Baseline Model - Test Loss: 2.3149, Test Accuracy: 25.00%

Training LoRA adapter for domain: photo

Training LoRA adapter for domain: photo
Created LoRA model: <class 'peft.peft_model.PeftModel'>
Epoch 1/10, Train Loss: 1.9158, Train Accuracy: 28.57%, Val Loss: 2.6360, Val Accuracy: 0.00%
Epoch 2/10, Train Loss: 1.8712, Train Accuracy: 28.57%, Val Loss: 2.6143, Val Accuracy: 0.00%
Epoch 3/10, Train Loss: 1.8223, Train Accuracy: 32.14%, Val Loss: 2.5920, Val Accuracy: 0.00%
Epoch 4/10, Train Loss: 1.7702, Train Accuracy: 35.71%, Val Loss: 2.5692, Val Accuracy: 0.00%
Epoch 5/10, Train Loss: 1.7209, Train Accuracy: 39.29%, Val Loss: 2.5481, Val Accuracy: 0.00%
Epoch 6/10, Train Loss: 1.6712, Train Accuracy: 39.29%, Val Loss: 2.5278, Val Accuracy: 0.00%
Epoch 7/10, Train Loss: 1.6224, Train Accuracy: 42.86%, Val Loss: 2.5078, Val Accuracy: 0.00%
Epoch 8/10, Train Loss: 1.5727, Train Accuracy: 42.86%, Val Loss: 2.4873, Val Accuracy: 0.00%
Epoch 9/10, Train Loss: 1.5208, Train Accuracy: 46.43%, Val Loss: 2.4669, Val Accuracy: 0.00%
Epoch 10/10, Train Loss: 1.4693, Train Accuracy: 46.43%, Val Loss: 2.4461, Val Accuracy: 0.00%
Created LoRA model: <class 'peft.peft_model.PeftModel'>
